time,a1_FR,a2_FR,a1_FL,a2_FL,a1_RR,a2_RR,a1_RL,a2_RL
5.3,-0.49961746444859545,-0.5114496766047256,0.49961746444859784,0.31144967660472755,0.49961746444859784,0.31144967660472755,-0.49961746444859545,-0.5114496766047256
5.3100000000000005,-0.5818650400393833,-0.5791829741500804,0.5818650400393854,0.37918297415008206,0.5818650400393854,0.37918297415008206,-0.5818650400393833,-0.5791829741500804
5.32,-0.6549362563594224,-0.6393592699430537,0.6549362563594243,0.4393592699430553,0.6549362563594243,0.4393592699430553,-0.6549362563594224,-0.6393592699430537
5.33,-0.7176787366767107,-0.6910295478514087,0.7176787366767122,0.49102954785141006,0.7176787366767122,0.49102954785141006,-0.7176787366767107,-0.6910295478514087
5.34,-0.7691029945961172,-0.7333789367262141,0.7691029945961184,0.5333789367262152,0.7691029945961184,0.5333789367262152,-0.7691029945961172,-0.7333789367262141
5.3500000000000005,-0.8083980388508827,-0.7657395614066091,0.8083980388508835,0.56573956140661,0.8083980388508835,0.56573956140661,-0.8083980388508827,-0.7657395614066091
5.36,-0.8349441631193854,-0.7876010755100821,0.8349441631193859,0.5876010755100826,0.8349441631193859,0.5876010755100826,-0.8349441631193854,-0.7876010755100821
5.37,-0.8483227191640305,-0.7986187098997897,0.8483227191640306,0.5986187098997899,0.8483227191640306,0.5986187098997899,-0.8483227191640305,-0.7986187098997897
5.38,-0.8483227191640309,-0.7986187098997901,0.8483227191640307,0.59861870989979,0.8483227191640307,0.59861870989979,-0.8483227191640309,-0.7986187098997901
5.39,-0.8349441631193868,-0.7876010755100832,0.8349441631193862,0.5876010755100828,0.8349441631193862,0.5876010755100828,-0.8349441631193868,-0.7876010755100832
5.4,-0.8083980388508812,-0.765739561406608,0.8083980388508802,0.5657395614066073,0.8083980388508802,0.5657395614066073,-0.8083980388508812,-0.765739561406608
5.41,-0.7691029945961152,-0.7333789367262125,0.769102994596114,0.5333789367262115,0.769102994596114,0.5333789367262115,-0.7691029945961152,-0.7333789367262125
5.42,-0.7176787366767147,-0.691029547851412,0.7176787366767131,0.49102954785141073,0.7176787366767131,0.49102954785141073,-0.7176787366767147,-0.691029547851412
5.43,-0.6549362563594273,-0.6393592699430577,0.6549362563594254,0.4393592699430562,0.6549362563594254,0.4393592699430562,-0.6549362563594273,-0.6393592699430577
5.44,-0.5818650400393799,-0.5791829741500776,0.5818650400393779,0.37918297415007585,0.5818650400393779,0.37918297415007585,-0.5818650400393799,-0.5791829741500776
5.45,-0.4996174644486015,-0.5114496766047306,0.4996174644485991,0.31144967660472866,0.4996174644485991,0.31144967660472866,-0.4996174644486015,-0.5114496766047306
5.46,-0.40949062298646316,-0.437227571871205,0.40949062298646055,0.23722757187120277,0.40949062298646055,0.23722757187120277,-0.40949062298646316,-0.437227571871205
5.47,-0.3129058697819767,-0.3576871868792749,0.31290586978197393,0.15768718687927266,0.31290586978197393,0.15768718687927266,-0.3129058697819767,-0.3576871868792749
5.48,-0.21138640409012177,-0.2740829210153944,0.21138640409011894,0.07408292101539204,0.21138640409011894,0.07408292101539204,-0.21138640409012177,-0.2740829210153944
5.49,-0.10653324852966027,-0.18773326349501435,0.10653324852965738,-0.012266736504988038,0.10653324852965738,-0.012266736504988038,-0.10653324852966027,-0.18773326349501435
5.5,-8.3297027683664e-15,-0.10000000000000686,5.413991119313501e-15,-0.09999999999999555,5.413991119313501e-15,-0.09999999999999555,-8.3297027683664e-15,-0.10000000000000686
5.51,0.10653324852965573,-0.012266736504989398,-0.10653324852965862,-0.187733263495013,-0.10653324852965862,-0.187733263495013,0.10653324852965573,-0.012266736504989398
5.5200000000000005,0.21138640409012902,0.07408292101540037,-0.21138640409013182,-0.27408292101540266,-0.21138640409013182,-0.27408292101540266,0.21138640409012902,0.07408292101540037
5.53,0.31290586978197243,0.15768718687927144,-0.31290586978197515,-0.3576871868792736,-0.31290586978197515,-0.3576871868792736,0.31290586978197243,0.15768718687927144
5.54,0.40949062298645916,0.2372275718712016,-0.4094906229864617,-0.43722757187120376,-0.4094906229864617,-0.43722757187120376,0.40949062298645916,0.2372275718712016
5.55,0.49961746444859784,0.31144967660472755,-0.49961746444860017,-0.5114496766047295,-0.49961746444860017,-0.5114496766047295,0.49961746444859784,0.31144967660472755
5.5600000000000005,0.5818650400393854,0.37918297415008206,-0.5818650400393875,-0.5791829741500839,-0.5818650400393875,-0.5791829741500839,0.5818650400393854,0.37918297415008206
5.57,0.6549362563594243,0.4393592699430553,-0.6549362563594262,-0.6393592699430568,-0.6549362563594262,-0.6393592699430568,0.6549362563594243,0.4393592699430553
5.58,0.7176787366767122,0.49102954785141006,-0.7176787366767138,-0.6910295478514112,-0.7176787366767138,-0.6910295478514112,0.7176787366767122,0.49102954785141006
5.59,0.7691029945961133,0.533378936726211,-0.7691029945961145,-0.7333789367262119,-0.7691029945961145,-0.7333789367262119,0.7691029945961133,0.533378936726211
5.6000000000000005,0.8083980388508798,0.5657395614066069,-0.8083980388508807,-0.7657395614066076,-0.8083980388508807,-0.7657395614066076,0.8083980388508798,0.5657395614066069
5.61,0.8349441631193859,0.5876010755100826,-0.8349441631193866,-0.787601075510083,-0.8349441631193866,-0.787601075510083,0.8349441631193859,0.5876010755100826
5.62,0.8483227191640306,0.5986187098997899,-0.8483227191640308,-0.79861870989979,-0.8483227191640308,-0.79861870989979,0.8483227191640306,0.5986187098997899
5.63,0.8483227191640307,0.59861870989979,-0.8483227191640306,-0.7986187098997898,-0.8483227191640306,-0.7986187098997898,0.8483227191640307,0.59861870989979
5.64,0.8349441631193862,0.5876010755100828,-0.8349441631193857,-0.7876010755100823,-0.8349441631193857,-0.7876010755100823,0.8349441631193862,0.5876010755100828
5.65,0.8083980388508802,0.5657395614066073,-0.8083980388508795,-0.7657395614066066,-0.8083980388508795,-0.7657395614066066,0.8083980388508802,0.5657395614066073
5.66,0.7691029945961192,0.5333789367262158,-0.7691029945961179,-0.7333789367262147,-0.7691029945961179,-0.7333789367262147,0.7691029945961192,0.5333789367262158
5.67,0.7176787366767131,0.49102954785141073,-0.7176787366767116,-0.6910295478514095,-0.7176787366767116,-0.6910295478514095,0.7176787366767131,0.49102954785141073
5.68,0.6549362563594254,0.4393592699430562,-0.6549362563594235,-0.6393592699430547,-0.6549362563594235,-0.6393592699430547,0.6549362563594254,0.4393592699430562
5.69,0.5818650400393867,0.37918297415008306,-0.5818650400393846,-0.5791829741500814,-0.5818650400393846,-0.5791829741500814,0.5818650400393867,0.37918297415008306
5.7,0.4996174644485991,0.31144967660472866,-0.4996174644485969,-0.5114496766047268,-0.4996174644485969,-0.5114496766047268,0.4996174644485991,0.31144967660472866
5.71,0.40949062298646055,0.23722757187120277,-0.409490622986458,-0.43722757187120076,-0.409490622986458,-0.43722757187120076,0.40949062298646055,0.23722757187120277
5.72,0.3129058697819852,0.15768718687928193,-0.3129058697819825,-0.3576871868792797,-0.3129058697819825,-0.3576871868792797,0.3129058697819852,0.15768718687928193
5.73,0.21138640409011894,0.07408292101539204,-0.2113864040901161,-0.2740829210153897,-0.2113864040901161,-0.2740829210153897,0.21138640409011894,0.07408292101539204
5.74,0.10653324852965738,-0.012266736504988038,-0.10653324852965448,-0.18773326349500957,-0.10653324852965448,-0.18773326349500957,0.10653324852965738,-0.012266736504988038
5.75,5.413991119313501e-15,-0.09999999999999555,-2.4982794702606003e-15,-0.10000000000000206,-2.4982794702606003e-15,-0.10000000000000206,5.413991119313501e-15,-0.09999999999999555
5.76,-0.10653324852965862,-0.187733263495013,0.10653324852966152,-0.012266736504984638,0.10653324852966152,-0.012266736504984638,-0.10653324852965862,-0.187733263495013
5.7700000000000005,-0.21138640409013182,-0.27408292101540266,0.21138640409013465,0.074082921015405,0.21138640409013465,0.074082921015405,-0.21138640409013182,-0.27408292101540266
5.78,-0.31290586978197515,-0.3576871868792736,0.3129058697819779,0.15768718687927588,0.3129058697819779,0.15768718687927588,-0.31290586978197515,-0.3576871868792736
5.79,-0.40949062298645106,-0.437227571871195,0.40949062298645367,0.2372275718711971,0.40949062298645367,0.2372275718711971,-0.40949062298645106,-0.437227571871195
5.8,-0.49961746444860017,-0.5114496766047295,0.49961746444860256,0.31144967660473144,0.49961746444860256,0.31144967660473144,-0.49961746444860017,-0.5114496766047295
5.8100000000000005,-0.5818650400393875,-0.5791829741500839,0.5818650400393897,0.3791829741500856,0.5818650400393897,0.3791829741500856,-0.5818650400393875,-0.5791829741500839
5.82,-0.6549362563594184,-0.6393592699430505,0.6549362563594203,0.4393592699430521,0.6549362563594203,0.4393592699430521,-0.6549362563594184,-0.6393592699430505
5.83,-0.7176787366767138,-0.6910295478514112,0.7176787366767153,0.4910295478514126,0.7176787366767153,0.4910295478514126,-0.7176787366767138,-0.6910295478514112
5.84,-0.7691029945961145,-0.7333789367262119,0.7691029945961158,0.533378936726213,0.7691029945961158,0.533378936726213,-0.7691029945961145,-0.7333789367262119
5.8500000000000005,-0.8083980388508807,-0.7657395614066076,0.8083980388508816,0.5657395614066084,0.8083980388508816,0.5657395614066084,-0.8083980388508807,-0.7657395614066076
5.86,-0.8349441631193866,-0.787601075510083,0.834944163119387,0.5876010755100834,0.834944163119387,0.5876010755100834,-0.8349441631193866,-0.787601075510083
5.87,-0.8483227191640308,-0.79861870989979,0.848322719164031,0.5986187098997903,0.848322719164031,0.5986187098997903,-0.8483227191640308,-0.79861870989979
5.88,-0.8483227191640312,-0.7986187098997904,0.8483227191640311,0.5986187098997903,0.8483227191640311,0.5986187098997903,-0.8483227191640312,-0.7986187098997904
5.89,-0.8349441631193857,-0.7876010755100823,0.8349441631193852,0.5876010755100819,0.8349441631193852,0.5876010755100819,-0.8349441631193857,-0.7876010755100823
5.9,-0.8083980388508795,-0.7657395614066066,0.8083980388508785,0.5657395614066059,0.8083980388508785,0.5657395614066059,-0.8083980388508795,-0.7657395614066066
5.91,-0.7691029945961179,-0.7333789367262147,0.7691029945961166,0.5333789367262137,0.7691029945961166,0.5333789367262137,-0.7691029945961179,-0.7333789367262147
5.92,-0.7176787366767116,-0.6910295478514095,0.71767873667671,0.4910295478514082,0.71767873667671,0.4910295478514082,-0.7176787366767116,-0.6910295478514095
5.93,-0.6549362563594235,-0.6393592699430547,0.6549362563594217,0.4393592699430532,0.6549362563594217,0.4393592699430532,-0.6549362563594235,-0.6393592699430547
5.94,-0.5818650400393846,-0.5791829741500814,0.5818650400393823,0.3791829741500796,0.5818650400393823,0.3791829741500796,-0.5818650400393846,-0.5791829741500814
5.95,-0.4996174644486066,-0.5114496766047348,0.4996174644486042,0.3114496766047329,0.4996174644486042,0.3114496766047329,-0.4996174644486066,-0.5114496766047348
5.96,-0.409490622986458,-0.43722757187120076,0.40949062298645544,0.2372275718711986,0.40949062298645544,0.2372275718711986,-0.409490622986458,-0.43722757187120076
5.97,-0.3129058697819825,-0.3576871868792797,0.3129058697819798,0.1576871868792775,0.3129058697819798,0.1576871868792775,-0.3129058697819825,-0.3576871868792797
5.98,-0.2113864040901278,-0.27408292101539933,0.211386404090125,0.07408292101539704,0.211386404090125,0.07408292101539704,-0.2113864040901278,-0.27408292101539933
5.99,-0.10653324852965448,-0.18773326349500957,0.10653324852965158,-0.012266736504992826,0.10653324852965158,-0.012266736504992826,-0.10653324852965448,-0.18773326349500957
6.0,-2.4982794702606003e-15,-0.10000000000000206,-4.1743217879230026e-16,-0.10000000000000035,-4.1743217879230026e-16,-0.10000000000000035,-2.4982794702606003e-15,-0.10000000000000206
6.01,0.10653324852964953,-0.012266736504994505,-0.10653324852965243,-0.1877332634950079,-0.10653324852965243,-0.1877332634950079,0.10653324852964953,-0.012266736504994505
6.0200000000000005,0.21138640409013465,0.074082921015405,-0.21138640409013748,-0.2740829210154073,-0.21138640409013748,-0.2740829210154073,0.21138640409013465,0.074082921015405
6.03,0.3129058697819779,0.15768718687927588,-0.31290586978198054,-0.35768718687927814,-0.31290586978198054,-0.35768718687927814,0.3129058697819779,0.15768718687927588
6.04,0.40949062298645367,0.2372275718711971,-0.4094906229864562,-0.4372275718711992,-0.4094906229864562,-0.4372275718711992,0.40949062298645367,0.2372275718711971
6.05,0.49961746444860256,0.31144967660473144,-0.4996174644486049,-0.5114496766047334,-0.4996174644486049,-0.5114496766047334,0.49961746444860256,0.31144967660473144
6.0600000000000005,0.5818650400393897,0.3791829741500856,-0.5818650400393918,-0.5791829741500873,-0.5818650400393918,-0.5791829741500873,0.5818650400393897,0.3791829741500856
6.07,0.6549362563594203,0.4393592699430521,-0.6549362563594222,-0.6393592699430536,-0.6549362563594222,-0.6393592699430536,0.6549362563594203,0.4393592699430521
6.08,0.7176787366767088,0.4910295478514073,-0.7176787366767104,-0.6910295478514086,-0.7176787366767104,-0.6910295478514086,0.7176787366767088,0.4910295478514073
6.09,0.7691029945961158,0.533378936726213,-0.769102994596117,-0.7333789367262139,-0.769102994596117,-0.7333789367262139,0.7691029945961158,0.533378936726213
6.1000000000000005,0.8083980388508816,0.5657395614066084,-0.8083980388508825,-0.765739561406609,-0.8083980388508825,-0.765739561406609,0.8083980388508816,0.5657395614066084
6.11,0.8349441631193847,0.5876010755100816,-0.8349441631193854,-0.787601075510082,-0.8349441631193854,-0.787601075510082,0.8349441631193847,0.5876010755100816
6.12,0.848322719164031,0.5986187098997903,-0.8483227191640311,-0.7986187098997902,-0.8483227191640311,-0.7986187098997902,0.848322719164031,0.5986187098997903
6.13,0.8483227191640311,0.5986187098997903,-0.8483227191640309,-0.7986187098997901,-0.8483227191640309,-0.7986187098997901,0.8483227191640311,0.5986187098997903
6.140000000000001,0.8349441631193852,0.5876010755100819,-0.8349441631193847,-0.7876010755100814,-0.8349441631193847,-0.7876010755100814,0.8349441631193852,0.5876010755100819
6.15,0.8083980388508785,0.5657395614066059,-0.8083980388508777,-0.765739561406605,-0.8083980388508777,-0.765739561406605,0.8083980388508785,0.5657395614066059
6.16,0.7691029945961166,0.5333789367262137,-0.7691029945961154,-0.7333789367262127,-0.7691029945961154,-0.7333789367262127,0.7691029945961166,0.5333789367262137
6.17,0.7176787366767164,0.4910295478514136,-0.7176787366767149,-0.6910295478514122,-0.7176787366767149,-0.6910295478514122,0.7176787366767164,0.4910295478514136
6.18,0.6549362563594217,0.4393592699430532,-0.6549362563594198,-0.6393592699430516,-0.6549362563594198,-0.6393592699430516,0.6549362563594217,0.4393592699430532
6.19,0.5818650400393823,0.3791829741500796,-0.5818650400393803,-0.5791829741500779,-0.5818650400393803,-0.5791829741500779,0.5818650400393823,0.3791829741500796
6.2,0.4996174644486042,0.3114496766047329,-0.4996174644486019,-0.511449676604731,-0.4996174644486019,-0.511449676604731,0.4996174644486042,0.3114496766047329
6.21,0.40949062298645544,0.2372275718711986,-0.40949062298645295,-0.43722757187119654,-0.40949062298645295,-0.43722757187119654,0.40949062298645544,0.2372275718711986
6.22,0.3129058697819798,0.1576871868792775,-0.3129058697819771,-0.35768718687927525,-0.3129058697819771,-0.35768718687927525,0.3129058697819798,0.1576871868792775
6.23,0.211386404090125,0.07408292101539704,-0.21138640409012216,-0.2740829210153947,-0.21138640409012216,-0.2740829210153947,0.211386404090125,0.07408292101539704
6.24,0.10653324852966357,-0.012266736504982945,-0.10653324852966069,-0.18773326349501468,-0.10653324852966069,-0.18773326349501468,0.10653324852966357,-0.012266736504982945
